order_id,settlement_txn_id,utr,case_type,trap_type
ORD-3-0000,STL-5R3T2ISP,UTR637C5LNYJ,clean,
ORD-3-0001,STL-10NE35QG,UTRR3B6JOM7O,clean,
ORD-3-0002,STL-YIY822IJ,UTRXWL04HOEC,clean,
ORD-3-0003,STL-OHB7LT2F,UTRXWL04HOEC,partial_refund,
ORD-3-0004,STL-BYVXH98J,UTR7GSHYEEUE,clean,
ORD-3-0005,STL-MINM181G,UTRONHSJFLTC,clean,
ORD-3-0006,STL-7BGDU6GD,UTRONHSJFLTC,clean,
ORD-3-0007,STL-XA4399MU,UTR7GSHYEEUE,partial_refund,
ORD-3-0008,UNSETTLED,UNSETTLED,full_refund,
ORD-3-0009,STL-7VNDY5AT,UTRR3B6JOM7O,clean,
ORD-3-0010,STL-3BLWQVRR,UTRR3B6JOM7O,clean,
ORD-3-0011,STL-6EYFENQW,UTRXWL04HOEC,clean,
ORD-3-0012,STL-JKXPFF3P,UTR637C5LNYJ,clean,
ORD-3-0013,STL-5TKO7LGN,UTR9K9FHWCAC,clean,
ORD-3-0013,CB-27PVXC04,UTRV6W1XNPPK,chargeback_reversal,
ORD-3-0014,STL-O447ASZV,UTR9K9FHWCAC,clean,
ORD-3-0015,STL-WDG47FKO,UTRONHSJFLTC,clean,
ORD-3-0016,STL-BCGCACRV,UTR7GSHYEEUE,clean,
ORD-3-0017,STL-AVZY8AYJ,UTR7GSHYEEUE,rounding_drift,
ORD-3-0018,STL-F0TPV8KB,UTRV734ZPJ5R,clean,
ORD-3-0019,STL-PZ58ASUT,UTR637C5LNYJ,clean,
ORD-3-0020,STL-W8ZBA67A,UTRR3B6JOM7O,clean,
ORD-3-0020-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-3-0021,STL-8K18PRAF,UTRR3B6JOM7O,clean,
ORD-3-0022,STL-U1F66GDP,UTRONHSJFLTC,clean,
ORD-3-0023,STL-U3UV4FZB,UTR7GSHYEEUE,rounding_drift,
ORD-3-0024,STL-9JJNK3N8,UTR637C5LNYJ,split_settlement,
ORD-3-0024,STL-34FNAHE7,UTRONHSJFLTC,split_settlement,
ORD-3-0025,STL-IKGOUFC8,UTRR3B6JOM7O,clean,
ORD-3-0026,STL-NCIZT51N,UTR637C5LNYJ,clean,
ORD-3-0027,STL-GD0IJW7A,UTRXWL04HOEC,partial_refund,
ORD-3-0028,STL-7S96K79F,UTR9K9FHWCAC,clean,
ORD-3-0029,STL-BFAKY7GU,UTRONHSJFLTC,clean,
ORD-3-0030,STL-O25KTI30,UTR637C5LNYJ,clean,
ORD-3-0031,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0032,STL-R4M003ZK,UTRXWL04HOEC,clean,
ORD-3-0033,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0034,STL-T1T2Y3E5,UTRXWL04HOEC,clean,
ORD-3-0034,CB-H6UJTRFT,UTRUGUFZYT1P,chargeback_reversal,
ORD-3-0035,STL-8PWHCGR0,UTRONHSJFLTC,clean,
ORD-3-0036,STL-30I5OG3M,UTRONHSJFLTC,clean,
ORD-3-0037,STL-79KTMH90,UTR7GSHYEEUE,clean,
ORD-3-0038,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0039,STL-EVQDM2D3,UTR7GSHYEEUE,clean,
ORD-3-0040,STL-8ROFLBX2,UTRXWL04HOEC,clean,
ORD-3-0041,STL-9HF6SXKP,UTRR3B6JOM7O,clean,
ORD-3-0041-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-3-0042,STL-QAZ8YHUX,UTRONHSJFLTC,clean,
ORD-3-0042-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-3-0043,STL-B7LWEEVL,UTRXWL04HOEC,clean,
ORD-3-0044,STL-DVOAIEGW,UTRXWL04HOEC,clean,
ORD-3-0045,STL-0GENIM03,UTRV734ZPJ5R,clean,
ORD-3-0046,STL-PQ48YWW2,UTRONHSJFLTC,rounding_drift,
ORD-3-0047,STL-764HX63B,UTRONHSJFLTC,partial_refund,
ORD-3-0048,STL-7G0BAUCR,UTRXWL04HOEC,clean,
ORD-3-0049,STL-K1C9BG5X,UTR7GSHYEEUE,clean,
ORD-3-0050,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0051,STL-WP6URTRU,UTRONHSJFLTC,clean,
ORD-3-0052,STL-PDM9FPH4,UTR637C5LNYJ,clean,
ORD-3-0053,STL-H334JITZ,UTRXWL04HOEC,partial_refund,
ORD-3-0054,STL-NI5HX4SU,UTR9K9FHWCAC,clean,
ORD-3-0055,UNSETTLED,UNSETTLED,full_refund,
ORD-3-0056,STL-LO0EEIBJ,UTR7GSHYEEUE,clean,
ORD-3-0057,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0058,UNSETTLED,UNSETTLED,missing_settlement,
ORD-3-0059,STL-JTZOKKDN,UTRONHSJFLTC,rounding_drift,
ORPHAN,STL-DQOXVUWA,UTR637C5LNYJ,orphan_settlement,
