entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-5R3T2ISP,payment,0,2848830,2917688,INR,68858,10504,False,True,1737611940,1737980400,SB-3-20250127,,default,,,,UTR637C5LNYJ,order_EMIwbPLDN1zqx6,ORD-3-0000,card,,,credit,
STL-10NE35QG,payment,0,1506283,1522451,INR,16168,2466,False,True,1737887940,1738143180,SB-3-20250129,,default,,,,UTRR3B6JOM7O,order_57txJSD5wV0XHs,ORD-3-0001,card,,,debit,
STL-YIY822IJ,payment,0,3197916,3197916,INR,0,0,False,True,1737617700,1737718500,SB-3-20250124,,default,,,,UTRXWL04HOEC,order_7npD0kFOcDdBSo,ORD-3-0002,upi,,,,
STL-OHB7LT2F,payment,0,3963581,3963581,INR,0,0,False,True,1737624060,1737725100,SB-3-20250124,,default,,,,UTRXWL04HOEC,order_JlBo05LOO4GMns,ORD-3-0003,upi,,,,
rfnd_r603855tULe3PU,refund,850306,0,850306,INR,0,0,False,True,1737725100,1737725100,SB-3-20250124,,default,Partial refund,,STL-OHB7LT2F,UTRXWL04HOEC,order_JlBo05LOO4GMns,ORD-3-0003,upi,,,,
STL-BYVXH98J,payment,0,1403236,1403236,INR,0,0,False,True,1737545160,1737621360,SB-3-20250123,,default,,,,UTR7GSHYEEUE,order_81XL7yZ05H4gMH,ORD-3-0004,upi,,,,
STL-MINM181G,payment,0,2648854,2712878,INR,64024,9766,False,True,1737706380,1738049880,SB-3-20250128,,default,,,,UTRONHSJFLTC,order_W6gZf7e1do0khQ,ORD-3-0005,card,,,credit,
STL-7BGDU6GD,payment,0,4814645,4814645,INR,0,0,False,True,1737805620,1738055160,SB-3-20250128,,default,,,,UTRONHSJFLTC,order_x9wCGKL0pj2UGM,ORD-3-0006,upi,,,,
STL-XA4399MU,payment,0,3350223,3431199,INR,80976,12352,False,True,1737433920,1737635460,SB-3-20250123,,default,,,,UTR7GSHYEEUE,order_frKv2Oddr1gddV,ORD-3-0007,card,,,credit,
rfnd_Qy1vXtKuI3cdFn,refund,1423164,0,1423164,INR,0,0,False,True,1737635460,1737635460,SB-3-20250123,,default,Partial refund,,STL-XA4399MU,UTR7GSHYEEUE,order_frKv2Oddr1gddV,ORD-3-0007,card,,,credit,
STL-7VNDY5AT,payment,0,477556,489099,INR,11543,1761,False,True,1737884760,1738148940,SB-3-20250129,,default,,,,UTRR3B6JOM7O,order_UfwEwNHOsRMvWm,ORD-3-0009,card,,,credit,
STL-3BLWQVRR,payment,0,1259318,1289756,INR,30438,4643,False,True,1737909120,1738148280,SB-3-20250129,,default,,,,UTRR3B6JOM7O,order_BqQvkCbK7WhX4M,ORD-3-0010,card,,,credit,
STL-6EYFENQW,payment,0,4469493,4517468,INR,47975,7318,False,True,1737558720,1737722460,SB-3-20250124,,default,,,,UTRXWL04HOEC,order_R1LcBHosW18Uaq,ORD-3-0011,card,,,debit,
STL-JKXPFF3P,payment,0,4384461,4384461,INR,0,0,False,True,1737724860,1737953340,SB-3-20250127,,default,,,,UTR637C5LNYJ,order_dUmifTK15e8qse,ORD-3-0012,upi,,,,
STL-5TKO7LGN,payment,0,3119014,3152493,INR,33479,5107,False,True,1737368160,1737520140,SB-3-20250122,,default,,,,UTR9K9FHWCAC,order_8gtVmidbphW4lz,ORD-3-0013,card,,,debit,
CB-27PVXC04,adjustment,3119014,0,3152493,INR,33479,5107,False,True,1738643340,1738643340,SB-3-20250204,,default,Chargeback adjustment,,STL-5TKO7LGN,UTRV6W1XNPPK,order_8gtVmidbphW4lz,ORD-3-0013,card,,,debit,disp_4Nx6SIt3jz5XIK
STL-O447ASZV,payment,0,4363418,4410255,INR,46837,7145,False,True,1737363600,1737545220,SB-3-20250122,,default,,,,UTR9K9FHWCAC,order_uX4K9NYvPyEMdD,ORD-3-0014,card,,,debit,
STL-WDG47FKO,payment,0,22284,22822,INR,538,82,False,True,1737688320,1738052340,SB-3-20250128,,default,,,,UTRONHSJFLTC,order_O8H5T9CTquOLOA,ORD-3-0015,card,,,credit,
STL-BCGCACRV,payment,0,53737,55153,INR,1416,216,False,True,1737459360,1737640800,SB-3-20250123,,default,,,,UTR7GSHYEEUE,order_boN2ZFJ7SBYy87,ORD-3-0016,netbanking,,,,
STL-AVZY8AYJ,payment,0,3576709,3663162,INR,86450,13187,False,True,1737431700,1737621000,SB-3-20250123,,default,,,,UTR7GSHYEEUE,order_r8ceM0SVx5LVyW,ORD-3-0017,card,,,credit,
STL-F0TPV8KB,payment,0,572147,572147,INR,0,0,False,True,1737359940,1737437220,SB-3-20250121,,default,,,,UTRV734ZPJ5R,order_07WwwmuyyexBTk,ORD-3-0018,upi,,,,
STL-PZ58ASUT,payment,0,2070120,2071536,INR,1416,216,False,True,1737618420,1737957480,SB-3-20250127,,default,,,,UTR637C5LNYJ,order_rkx01WNejw6vM2,ORD-3-0019,netbanking,,,,
