entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-UP2JS8J3,payment,0,4730873,4845220,INR,114347,17443,False,True,1738292520,1738642320,SB-4-20250204,,default,,,,UTRCM20WROA7,order_LFSJAQAVdKjhui,ORD-4-0000,card,,,credit,
STL-YKTJH4XP,payment,0,145088,145088,INR,0,0,False,True,1738305720,1738588140,SB-4-20250203,,default,,,,UTRA5KODLU60,order_P1DHNADr7vywPB,ORD-4-0001,upi,,,,
STL-GTRBCIMU,payment,0,2220590,2244426,INR,23836,3636,False,True,1738138080,1738321200,SB-4-20250131,,default,,,,UTRSII45WRMC,order_zRJBj1ZuDuEdPK,ORD-4-0002,card,,,debit,
rfnd_MCULSDaiUssYg0,refund,916992,0,916992,INR,0,0,False,True,1738321200,1738321200,SB-4-20250131,,default,Partial refund,,STL-GTRBCIMU,UTRSII45WRMC,order_zRJBj1ZuDuEdPK,ORD-4-0002,card,,,debit,
STL-IF8LE28E,payment,0,834719,854895,INR,20176,3078,False,True,1738151520,1738323780,SB-4-20250131,,default,,,,UTRSII45WRMC,order_tRN7IfmwhL9QU7,ORD-4-0003,card,,,credit,
STL-5OOL8JGH,payment,0,2114844,2137545,INR,22701,3463,False,True,1737977700,1738131660,SB-4-20250129,,default,,,,UTRDPDMNRWY6,order_TjUDagmpyU44Fl,ORD-4-0004,card,,,debit,
STL-XED33SBE,payment,0,1814258,1814258,INR,0,0,False,True,1738057500,1738129200,SB-4-20250129,,default,,,,UTRDPDMNRWY6,order_YqaT1jPtmSHmt7,ORD-4-0005,upi,,,,
STL-LABOYGMV,payment,0,3392204,3392204,INR,0,0,False,True,1738140720,1738222440,SB-4-20250130,,default,,,,UTRZYYJ3RN4Y,order_CLDxBJHnenUTYw,ORD-4-0007,upi,,,,
STL-HD32B00M,payment,0,330112,331528,INR,1416,216,False,True,1738205580,1738564740,SB-4-20250203,,default,,,,UTRA5KODLU60,order_CVReLHryVwkaNf,ORD-4-0008,netbanking,,,,
rfnd_pHC842F6ag0RCe,refund,74290,0,74290,INR,0,0,False,True,1738564740,1738564740,SB-4-20250203,,default,Partial refund,,STL-HD32B00M,UTRA5KODLU60,order_CVReLHryVwkaNf,ORD-4-0008,netbanking,,,,
STL-EQIVPQJB,payment,0,3371965,3371965,INR,0,0,False,True,1738147260,1738215120,SB-4-20250130,,default,,,,UTRZYYJ3RN4Y,order_7yWIXnpzId9gNK,ORD-4-0009,upi,,,,
CB-J3TOPWJR,adjustment,3371965,0,3371965,INR,0,0,False,True,1739251920,1739251920,SB-4-20250211,,default,Chargeback adjustment,,STL-EQIVPQJB,UTR9YY62RVX3,order_7yWIXnpzId9gNK,ORD-4-0009,upi,,,,disp_j9mU8aWc1Ko2tA
STL-ZBYBQY4T,payment,0,1954741,1954741,INR,0,0,False,True,1738059840,1738137840,SB-4-20250129,,default,,,,UTRDPDMNRWY6,order_sEnjq9wITPakSv,ORD-4-0010,upi,,,,
STL-ND03I00D,payment,0,872857,872857,INR,0,0,False,True,1738165800,1738223880,SB-4-20250130,,default,,,,UTRZYYJ3RN4Y,order_qTzU2GwFjkS9nY,ORD-4-0011,upi,,,,
STL-ZHX4PTMJ,payment,0,1772163,1772163,INR,0,0,False,True,1738165800,1738310280,SB-4-20250131,,default,,,,UTRSII45WRMC,order_qTzU2GwFjkS9nY,ORD-4-0011,upi,,,,
STL-1WS1GWSI,payment,0,3659678,3659678,INR,0,0,False,True,1738507200,1738671120,SB-4-20250204,,default,,,,UTRCM20WROA7,order_G6J2NozGsIuwSD,ORD-4-0012,upi,,,,
STL-GH03VW8Y,payment,0,4122898,4122898,INR,0,0,False,True,1738155840,1738236960,SB-4-20250130,,default,,,,UTRZYYJ3RN4Y,order_GjLixINcwtnkky,ORD-4-0013,upi,,,,
STL-S1IXUTLL,payment,0,3176323,3210418,INR,34095,5201,False,True,1738171560,1738300020,SB-4-20250131,,default,,,,UTRSII45WRMC,order_0yY7SSrZT1sz8r,ORD-4-0014,card,,,debit,
STL-LMNGS53W,payment,0,87913,88857,INR,944,144,False,True,1738240440,1738579020,SB-4-20250203,,default,,,,UTRA5KODLU60,order_2jwyFdIlwlqZwl,ORD-4-0015,card,,,debit,
STL-5Z732QMB,payment,0,4148592,4193123,INR,44531,6793,False,True,1738338840,1738662420,SB-4-20250204,,default,,,,UTRCM20WROA7,order_bsKegHEvEfSUGH,ORD-4-0016,card,,,debit,
STL-MO0RO6PK,payment,0,46071,46565,INR,494,75,False,True,1738307880,1738662180,SB-4-20250204,,default,,,,UTRCM20WROA7,order_R5EAJX4JGvPl3i,ORD-4-0017,card,,,debit,
STL-1AK9DHDD,payment,0,913952,936043,INR,22091,3370,False,True,1738492260,1738740840,SB-4-20250205,,default,,,,UTRHG9Y08NVS,order_D6EjW9anW0emzx,ORD-4-0018,card,,,credit,
STL-M3VO8QU4,payment,0,4428864,4535911,INR,107047,16329,False,True,1738300680,1738666080,SB-4-20250204,,default,,,,UTRCM20WROA7,order_8QQsLRhqLkRLfN,ORD-4-0019,card,,,credit,
STL-O072TW4B,payment,0,2645264,2645264,INR,0,0,False,True,1738486380,1738668600,SB-4-20250204,,default,,,,UTRCM20WROA7,order_Fi7zr58CCGspTO,ORD-4-0021,upi,,,,
STL-F3QWOPPL,payment,0,3125632,3125632,INR,0,0,False,True,1738424340,1738653960,SB-4-20250204,,default,,,,UTRCM20WROA7,order_Hh4E5sG2FuXDG8,ORD-4-0022,upi,,,,
STL-V9BBKQ6U,payment,0,2552383,2552383,INR,0,0,False,True,1738415520,1738644840,SB-4-20250204,,default,,,,UTRCM20WROA7,order_nAlxBXKqmkqoPV,ORD-4-0023,upi,,,,
STL-LXDFX9QU,payment,0,1314864,1314864,INR,0,0,False,True,1738415520,1738731240,SB-4-20250205,,default,,,,UTRHG9Y08NVS,order_nAlxBXKqmkqoPV,ORD-4-0023,upi,,,,
STL-8E3FL29F,payment,0,755790,755790,INR,0,0,False,True,1738071240,1738129980,SB-4-20250129,,default,,,,UTRDPDMNRWY6,order_TkVekrFQguHNPq,ORD-4-0024,upi,,,,
