order_id,settlement_txn_id,utr,case_type,trap_type
ORD-4-0000,STL-UP2JS8J3,UTRCM20WROA7,clean,
ORD-4-0000-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-4-0001,STL-YKTJH4XP,UTRA5KODLU60,clean,
ORD-4-0002,STL-GTRBCIMU,UTRSII45WRMC,partial_refund,
ORD-4-0003,STL-IF8LE28E,UTRSII45WRMC,clean,
ORD-4-0004,STL-5OOL8JGH,UTRDPDMNRWY6,clean,
ORD-4-0004-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-4-0005,STL-XED33SBE,UTRDPDMNRWY6,clean,
ORD-4-0006,UNSETTLED,UNSETTLED,missing_settlement,
ORD-4-0007,STL-LABOYGMV,UTRZYYJ3RN4Y,clean,
ORD-4-0008,STL-HD32B00M,UTRA5KODLU60,partial_refund,
ORD-4-0009,STL-EQIVPQJB,UTRZYYJ3RN4Y,clean,
ORD-4-0009,CB-J3TOPWJR,UTR9YY62RVX3,chargeback_reversal,
ORD-4-0010,STL-ZBYBQY4T,UTRDPDMNRWY6,clean,
ORD-4-0011,STL-ND03I00D,UTRZYYJ3RN4Y,split_settlement,
ORD-4-0011,STL-ZHX4PTMJ,UTRSII45WRMC,split_settlement,
ORD-4-0012,STL-1WS1GWSI,UTRCM20WROA7,clean,
ORD-4-0013,STL-GH03VW8Y,UTRZYYJ3RN4Y,clean,
ORD-4-0014,STL-S1IXUTLL,UTRSII45WRMC,clean,
ORD-4-0015,STL-LMNGS53W,UTRA5KODLU60,clean,
ORD-4-0016,STL-5Z732QMB,UTRCM20WROA7,clean,
ORD-4-0017,STL-MO0RO6PK,UTRCM20WROA7,clean,
ORD-4-0018,STL-1AK9DHDD,UTRHG9Y08NVS,clean,
ORD-4-0019,STL-M3VO8QU4,UTRCM20WROA7,clean,
ORD-4-0020,UNSETTLED,UNSETTLED,missing_settlement,
ORD-4-0021,STL-O072TW4B,UTRCM20WROA7,clean,
ORD-4-0021-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-4-0022,STL-F3QWOPPL,UTRCM20WROA7,clean,
ORD-4-0023,STL-V9BBKQ6U,UTRCM20WROA7,split_settlement,
ORD-4-0023,STL-LXDFX9QU,UTRHG9Y08NVS,split_settlement,
ORD-4-0024,STL-8E3FL29F,UTRDPDMNRWY6,clean,
ORD-4-0025,UNSETTLED,UNSETTLED,missing_settlement,
ORD-4-0026,STL-51235LNS,UTRSII45WRMC,rounding_drift,
ORD-4-0027,STL-062CQP6A,UTRCM20WROA7,clean,
ORD-4-0028,STL-CYAO6OU9,UTRCM20WROA7,clean,
ORD-4-0029,STL-0RLOMJRC,UTRZYYJ3RN4Y,clean,
ORD-4-0030,UNSETTLED,UNSETTLED,full_refund,
ORD-4-0031,STL-LD3Y5US2,UTRDPDMNRWY6,clean,
ORD-4-0032,STL-43I1T13D,UTRDPDMNRWY6,clean,
ORD-4-0033,STL-A0MFMD0K,UTRZYYJ3RN4Y,clean,
ORD-4-0034,STL-Z3Y88IKU,UTRSII45WRMC,clean,
ORD-4-0035,STL-1U9HL1GI,UTRSII45WRMC,clean,
ORD-4-0036,UNSETTLED,UNSETTLED,missing_settlement,
ORD-4-0037,STL-XC41GUVB,UTRSII45WRMC,clean,
ORD-4-0037-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-4-0038,STL-ATUC73EL,UTRA5KODLU60,clean,
ORD-4-0039,STL-V8ZUQM6N,UTRDPDMNRWY6,clean,
ORD-4-0040,STL-XV9AEA38,UTRHG9Y08NVS,split_settlement,
ORD-4-0040,STL-141PZHH7,UTRQWYTIS7SP,split_settlement,
ORD-4-0041,STL-D4DLZC5Y,UTRCM20WROA7,clean,
ORD-4-0042,UNSETTLED,UNSETTLED,full_refund,
ORD-4-0043,STL-ZYKCHUCH,UTRDPDMNRWY6,clean,
ORD-4-0044,STL-KT3TXG0P,UTRSII45WRMC,clean,
ORD-4-0045,STL-P5DT6DCB,UTRDPDMNRWY6,clean,
ORD-4-0046,STL-FWVOXXBY,UTRA5KODLU60,partial_refund,
ORD-4-0047,STL-8T0MH0B6,UTRSII45WRMC,clean,
ORD-4-0048,STL-VIQ117B7,UTRCM20WROA7,partial_refund,
ORD-4-0049,STL-DX0BWYZA,UTRSII45WRMC,clean,
ORD-4-0050,STL-D5ADYNVI,UTRHG9Y08NVS,clean,
ORD-4-0051,STL-R0O5D0YR,UTRCM20WROA7,rounding_drift,
ORD-4-0052,STL-8OCAD5I8,UTRHG9Y08NVS,clean,
ORD-4-0053,STL-F5TML5XP,UTRCM20WROA7,clean,
ORD-4-0054,STL-447M0ZZ3,UTRHG9Y08NVS,partial_refund,
ORD-4-0055,STL-WTA4ZYSM,UTRCM20WROA7,clean,
ORD-4-0056,STL-KJW6U0AH,UTRH7ZGVEKY2,clean,
ORD-4-0057,STL-IEC1658I,UTRDPDMNRWY6,clean,
ORD-4-0058,STL-GW67S1MC,UTRH7ZGVEKY2,clean,
ORD-4-0059,STL-I7QB5YIG,UTRCM20WROA7,partial_refund,
ORPHAN,STL-C9DH583W,UTRSII45WRMC,orphan_settlement,
