entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-MH1HE8MR,payment,0,4452537,4452537,INR,0,0,False,True,1738682220,1738751400,SB-5-20250205,,default,,,,UTR829QKKIQX,order_Zj8rmI8xPrJNnG,ORD-5-0000,upi,,,,
STL-ZVZFMMTO,payment,0,895016,895016,INR,0,0,False,True,1738938360,1739190660,SB-5-20250210,,default,,,,UTR17WZR5KOW,order_vTStBchKmM6VIN,ORD-5-0001,upi,,,,
STL-N6QD71OJ,payment,0,1342525,1342525,INR,0,0,False,True,1738938360,1739277060,SB-5-20250211,,default,,,,UTRXRI8TSZ1F,order_vTStBchKmM6VIN,ORD-5-0001,upi,,,,
STL-CBORABDG,payment,0,4500454,4500454,INR,0,0,False,True,1739098200,1739256420,SB-5-20250211,,default,,,,UTRXRI8TSZ1F,order_q9LVd94fNH3Iq6,ORD-5-0002,upi,,,,
STL-W4OWVG8G,payment,0,1029306,1029306,INR,0,0,False,True,1738599360,1738648740,SB-5-20250204,,default,,,,UTRLGH3H1WV6,order_l0rGRtOO8S2Vq0,ORD-5-0003,upi,,,,
rfnd_98GzTzCYJ2ycKi,refund,427601,0,427601,INR,0,0,False,True,1738648740,1738648740,SB-5-20250204,,default,Partial refund,,STL-W4OWVG8G,UTRLGH3H1WV6,order_l0rGRtOO8S2Vq0,ORD-5-0003,upi,,,,
STL-MKR8P4M7,payment,0,3286949,3370467,INR,83520,12740,False,True,1738675500,1738845120,SB-5-20250206,,default,,,,UTRMWW57XN6X,order_xfOSlslUO4gLfD,ORD-5-0004,card,,,credit,
STL-1V3SPYLR,payment,0,2503887,2503887,INR,0,0,False,True,1738984620,1739264760,SB-5-20250211,,default,,,,UTRXRI8TSZ1F,order_sMzPM2Zi3BR5ZN,ORD-5-0005,upi,,,,
STL-743J3UV0,payment,0,841433,850972,INR,9539,1455,False,True,1738929840,1739268240,SB-5-20250211,,default,,,,UTRXRI8TSZ1F,order_aVLa0xNNISDepw,ORD-5-0006,card,,,debit,
STL-5PXQZQNN,payment,0,1941058,1990380,INR,49322,7524,False,True,1738839240,1739158320,SB-5-20250210,,default,,,,UTR17WZR5KOW,order_0AOPx7uJk6pk4q,ORD-5-0009,card,,,credit,
STL-6MGWXKX3,payment,0,4181562,4287814,INR,106252,16208,False,True,1739113140,1739340540,SB-5-20250212,,default,,,,UTR5EI1NDOE7,order_ew2WldVVoKUWu3,ORD-5-0010,card,,,credit,
rfnd_zgpgTRDLvaz4lX,refund,1044315,0,1044315,INR,0,0,False,True,1739340540,1739340540,SB-5-20250212,,default,Partial refund,,STL-6MGWXKX3,UTR5EI1NDOE7,order_ew2WldVVoKUWu3,ORD-5-0010,card,,,credit,
STL-XU9G1VYZ,payment,0,813736,822961,INR,9225,1407,False,True,1738600380,1738728900,SB-5-20250205,,default,,,,UTR829QKKIQX,order_SW4wXpkjdPABX9,ORD-5-0011,card,,,debit,
STL-Z2VLI1V3,payment,0,781824,790688,INR,8864,1352,False,True,1738600380,1738815300,SB-5-20250206,,default,,,,UTRMWW57XN6X,order_SW4wXpkjdPABX9,ORD-5-0011,card,,,debit,
