order_id,settlement_txn_id,utr,case_type,trap_type
ORD-5-0000,STL-MH1HE8MR,UTR829QKKIQX,clean,
ORD-5-0001,STL-ZVZFMMTO,UTR17WZR5KOW,split_settlement,
ORD-5-0001,STL-N6QD71OJ,UTRXRI8TSZ1F,split_settlement,
ORD-5-0002,STL-CBORABDG,UTRXRI8TSZ1F,clean,
ORD-5-0003,STL-W4OWVG8G,UTRLGH3H1WV6,partial_refund,
ORD-5-0004,STL-MKR8P4M7,UTRMWW57XN6X,rounding_drift,
ORD-5-0005,STL-1V3SPYLR,UTRXRI8TSZ1F,clean,
ORD-5-0006,STL-743J3UV0,UTRXRI8TSZ1F,clean,
ORD-5-0007,UNSETTLED,UNSETTLED,missing_settlement,
ORD-5-0008,UNSETTLED,UNSETTLED,full_refund,
ORD-5-0009,STL-5PXQZQNN,UTR17WZR5KOW,clean,
ORD-5-0010,STL-6MGWXKX3,UTR5EI1NDOE7,partial_refund,
ORD-5-0011,STL-XU9G1VYZ,UTR829QKKIQX,split_settlement,
ORD-5-0011,STL-Z2VLI1V3,UTRMWW57XN6X,split_settlement,
ORD-5-0012,STL-GVX7TGLB,UTRXRI8TSZ1F,clean,
ORD-5-0013,STL-KBCZXOL8,UTROAFNGGC52,clean,
ORD-5-0014,UNSETTLED,UNSETTLED,missing_settlement,
ORD-5-0015,STL-GMYODAQ8,UTR5EI1NDOE7,clean,
ORD-5-0016,STL-6CEJIZVQ,UTROAFNGGC52,clean,
ORD-5-0017,STL-MJE1I2Z6,UTRLGH3H1WV6,clean,
ORD-5-0018,STL-RHPMHTRQ,UTR17WZR5KOW,clean,
ORD-5-0019,STL-RRAXU3ZI,UTR829QKKIQX,clean,
ORD-5-0020,STL-4EW3Z4A5,UTROAFNGGC52,split_settlement,
ORD-5-0020,STL-B4AN5OYY,UTR17WZR5KOW,split_settlement,
ORD-5-0021,STL-RIESKJ56,UTR5EI1NDOE7,split_settlement,
ORD-5-0021,STL-FGT81ZBO,UTRB6JJ6ED9D,split_settlement,
ORD-5-0022,STL-V3Q228U4,UTRLGH3H1WV6,clean,
ORD-5-0022,CB-D0M3YZV0,UTR5EI1NDOE7,chargeback_reversal,
ORD-5-0023,UNSETTLED,UNSETTLED,full_refund,
ORD-5-0024,STL-04L5RMFU,UTR829QKKIQX,clean,
ORD-5-0025,STL-MHRYAH2V,UTRXRI8TSZ1F,clean,
ORD-5-0026,STL-XI6XD2I4,UTROAFNGGC52,clean,
ORD-5-0027,STL-LGXO91QS,UTR829QKKIQX,clean,
ORD-5-0028,STL-3UVWUVTZ,UTROAFNGGC52,clean,
ORD-5-0029,STL-5K9RDNWK,UTR829QKKIQX,clean,
ORD-5-0030,STL-HYYZ2XKN,UTRMWW57XN6X,clean,
ORD-5-0031,STL-WAM8UPS1,UTR5EI1NDOE7,clean,
ORD-5-0031-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-5-0032,STL-EAM27FID,UTRLGH3H1WV6,clean,
ORD-5-0033,STL-XEUSCR3R,UTR829QKKIQX,clean,
ORD-5-0034,STL-NUDECU8N,UTR829QKKIQX,clean,
ORD-5-0035,STL-JJH1VMOK,UTROAFNGGC52,clean,
ORD-5-0035-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-5-0036,STL-9QSG8H4F,UTROAFNGGC52,clean,
ORD-5-0037,STL-NYUC3OTS,UTRXRI8TSZ1F,clean,
ORD-5-0038,STL-698T8DUS,UTROAFNGGC52,clean,
ORD-5-0039,STL-9VF3H6YZ,UTRXRI8TSZ1F,partial_refund,
ORD-5-0040,STL-H9A19LK1,UTR829QKKIQX,clean,
ORD-5-0041,STL-9K4GMTC7,UTROAFNGGC52,clean,
ORD-5-0042,STL-VTVBTO2M,UTRXRI8TSZ1F,partial_refund,
ORD-5-0043,STL-WQKBN08G,UTR17WZR5KOW,clean,
ORD-5-0044,STL-024S6M8W,UTRMWW57XN6X,clean,
ORD-5-0045,STL-AQDJ1Q8N,UTR17WZR5KOW,clean,
ORD-5-0046,UNSETTLED,UNSETTLED,missing_settlement,
ORD-5-0047,STL-J5QOEZIJ,UTR17WZR5KOW,clean,
ORD-5-0048,STL-CDE8B3MZ,UTRXRI8TSZ1F,clean,
ORD-5-0049,STL-7H3JK4IP,UTRXRI8TSZ1F,clean,
ORD-5-0050,STL-XBZHR842,UTROAFNGGC52,partial_refund,
ORD-5-0051,STL-UWGGATEV,UTR829QKKIQX,clean,
ORD-5-0052,STL-BJ2OSS24,UTR5EI1NDOE7,clean,
ORD-5-0053,STL-4SZ5ZRDQ,UTROAFNGGC52,split_settlement,
ORD-5-0053,STL-XA9POQBG,UTR17WZR5KOW,split_settlement,
ORD-5-0054,STL-UH43Q8IN,UTR5EI1NDOE7,clean,
ORD-5-0055,STL-OQDPZ4TL,UTRXRI8TSZ1F,rounding_drift,
ORD-5-0056,STL-HMOXYSZP,UTROAFNGGC52,split_settlement,
ORD-5-0056,STL-LCJS0UB0,UTR17WZR5KOW,split_settlement,
ORD-5-0057,STL-VK7Z8UO8,UTR17WZR5KOW,clean,
ORD-5-0057-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-5-0058,STL-2BJDVL1P,UTROAFNGGC52,clean,
ORD-5-0059,STL-BG1Q5749,UTROAFNGGC52,clean,
ORPHAN,STL-3WEP2UAL,UTRMWW57XN6X,orphan_settlement,
