order_id,settlement_txn_id,utr,case_type,trap_type
ORD-1-0000,STL-GRLGSRAC,UTRRWA61TBIA,clean,
ORD-1-0001,STL-DA9TTG87,UTRZYR2WIFQ3,clean,
ORD-1-0002,STL-H1HQHS3V,UTRW7U2NI6K4,clean,
ORD-1-0003,STL-FR9ID24W,UTRRWA61TBIA,clean,
ORD-1-0004,STL-UW9734MG,UTRXQZND9HZ4,clean,
ORD-1-0005,STL-1SAFPZ2U,UTRRWA61TBIA,clean,
ORD-1-0006,STL-NIJ6CNUB,UTRRWA61TBIA,split_settlement,
ORD-1-0006,STL-JSG6YWKK,UTRZYR2WIFQ3,split_settlement,
ORD-1-0007,STL-QNIE87HE,UTRZYR2WIFQ3,clean,
ORD-1-0008,STL-MJWP9ZRJ,UTRRWA61TBIA,clean,
ORD-1-0009,UNSETTLED,UNSETTLED,full_refund,
ORD-1-0010,STL-4TI3C12H,UTRXQZND9HZ4,clean,
ORD-1-0011,STL-15AVH62Y,UTRYKR1A4J7Y,clean,
ORD-1-0012,STL-FRMJ69GR,UTRCAKH9MJTM,clean,
ORD-1-0013,STL-ZW1U2SHR,UTRRTKJBZVT8,clean,
ORD-1-0014,STL-GLKMX7BH,UTRXQZND9HZ4,rounding_drift,
ORD-1-0015,STL-MMRWTJ5C,UTRZYR2WIFQ3,clean,
ORD-1-0016,STL-11CIBPP2,UTRZYR2WIFQ3,rounding_drift,
ORD-1-0017,STL-Y86ESMOF,UTRYKR1A4J7Y,clean,
ORD-1-0017,CB-8LI3G5VK,UTRSZYS6RIFJ,chargeback_reversal,
ORD-1-0018,STL-QNJGJUOZ,UTRYKR1A4J7Y,clean,
ORD-1-0019,STL-JDAVNVF8,UTRRWA61TBIA,clean,
ORD-1-0020,STL-N7UBYENX,UTRRWA61TBIA,clean,
ORD-1-0021,STL-BQROZLUQ,UTRZYR2WIFQ3,clean,
ORD-1-0022,STL-NOLXLGY2,UTRCAKH9MJTM,clean,
ORD-1-0023,STL-FQD4PP3H,UTRW7U2NI6K4,clean,
ORD-1-0024,STL-RQCA6I1J,UTRCAKH9MJTM,rounding_drift,
ORD-1-0025,STL-CHR5YPUZ,UTRZYR2WIFQ3,clean,
ORD-1-0026,STL-8TRI41WA,UTRRTKJBZVT8,clean,
ORD-1-0027,STL-MFGDBWC4,UTRCAKH9MJTM,clean,
ORD-1-0028,STL-VO8X9O9S,UTRXQZND9HZ4,clean,
ORD-1-0029,STL-IE2K9YHP,UTRZYR2WIFQ3,partial_refund,
ORD-1-0030,UNSETTLED,UNSETTLED,full_refund,
ORD-1-0031,STL-1UTBXV2X,UTRCAKH9MJTM,clean,
ORD-1-0031-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-1-0032,STL-XVE0ZMB3,UTRRWA61TBIA,clean,
ORD-1-0032,CB-XUQJ14YG,UTR0VKZ8JZ1N,chargeback_reversal,
ORD-1-0033,STL-EQLMS9MX,UTRCAKH9MJTM,clean,
ORD-1-0034,UNSETTLED,UNSETTLED,missing_settlement,
ORD-1-0035,STL-O4QAQ57I,UTRW7U2NI6K4,clean,
ORD-1-0036,STL-SR25910P,UTRRTKJBZVT8,partial_refund,
ORD-1-0037,STL-2XWXQ6AX,UTRXQZND9HZ4,rounding_drift,
ORD-1-0038,STL-X9ZXD99R,UTRRTKJBZVT8,clean,
ORD-1-0039,STL-3ZESTKGS,UTRYKR1A4J7Y,clean,
ORD-1-0040,STL-6LVGHAIL,UTRZYR2WIFQ3,clean,
ORD-1-0041,STL-1Q2D1JDP,UTRXQZND9HZ4,split_settlement,
ORD-1-0041,STL-DTKRUB9D,UTRQ1EKPO2ZV,split_settlement,
ORD-1-0042,UNSETTLED,UNSETTLED,missing_settlement,
ORD-1-0043,STL-7FMD1HLX,UTRW7U2NI6K4,clean,
ORD-1-0044,STL-IB8MH8EP,UTRW7U2NI6K4,clean,
ORD-1-0045,STL-JRTWLF2J,UTRCAKH9MJTM,clean,
ORD-1-0045,CB-IC390D1B,UTR0A5JO76QT,chargeback_reversal,
ORD-1-0046,STL-RQ0RTNVY,UTRCAKH9MJTM,clean,
ORD-1-0047,STL-OACMBKN9,UTRW7U2NI6K4,clean,
ORD-1-0048,STL-RRHJEAQM,UTRXQZND9HZ4,clean,
ORD-1-0049,UNSETTLED,UNSETTLED,missing_settlement,
ORD-1-0050,STL-VQ74YONK,UTRZYR2WIFQ3,clean,
ORD-1-0051,STL-102YDLJS,UTRRWA61TBIA,partial_refund,
ORD-1-0052,STL-QI2C1932,UTRZYR2WIFQ3,clean,
ORD-1-0052-D,UNSETTLED,UNSETTLED,duplicate_ledger,
ORD-1-0053,STL-CRPXMLKP,UTRW7U2NI6K4,clean,
ORD-1-0054,UNSETTLED,UNSETTLED,missing_settlement,
ORD-1-0055,STL-IW539E3O,UTRCAKH9MJTM,clean,
ORD-1-0056,UNSETTLED,UNSETTLED,missing_settlement,
ORD-1-0057,STL-J0PSGHYV,UTRZYR2WIFQ3,rounding_drift,
ORD-1-0058,STL-V4SIZG7S,UTRRWA61TBIA,clean,
ORD-1-0059,UNSETTLED,UNSETTLED,missing_settlement,
ORPHAN,STL-WYHZK12R,UTRCAKH9MJTM,orphan_settlement,
